Unnamed: 0;Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose
-17.303.196.219.213.300;27.664.564.848.025.200;male;0.1469491804436178;own;;little;-0.7451314133870967;-12.364.778.603.818.700;radio/TV
-17.268.555.185.741.400;-11.914.039.404.570.100;female;0.1469491804436178;own;little;moderate;0.9498167893630399;22.481.943.623.946.600;radio/TV
-17.233.914.152.269.500;11.833.123.146.987.000;male;-13.837.714.491.773.900;own;little;;-0.4165624079606273;-0.738667542842371;education
-1.719.927.311.879.760;0.8315024991200816;male;0.1469491804436178;free;little;little;1.634.246.939.825.290;17.503.840.448.551.600;furniture/equipment
-17.164.632.085.325.700;15.351.221.302.773.300;male;0.1469491804436178;free;little;little;0.5666635047179338;0.2569530922366421;car
-17.129.991.051.853.800;-0.048022039826482336;male;-13.837.714.491.773.900;free;;;20.500.090.146.529.600;12.525.737.273.156.500;education
-17.095.350.018.381.900;15.351.221.302.773.300;male;0.1469491804436178;own;quite rich;;-0.1546287563854807;0.2569530922366421;furniture/equipment
-17.060.708.984.910.000;-0.048022039826482336;male;1.677.669.810.064.630;rent;little;moderate;13.031.968.307.979.800;12.525.737.273.156.500;car
-17.026.067.951.438.100;2.238.741.761.434.580;male;-13.837.714.491.773.900;own;rich;;-0.07523344115837269;-0.738667542842371;radio/TV
-16.991.426.917.966.200;-0.6636892170890771;male;1.677.669.810.064.630;own;little;moderate;0.6956808919619843;0.7547634097761486;car
-1.695.678.588.449.430;-0.9275465787730462;female;0.1469491804436178;rent;little;moderate;-0.7004715485718485;-0.738667542842371;car
-16.922.144.851.022.400;-10.154.990.326.677.000;female;0.1469491804436178;rent;little;little;0.3674663299070645;22.481.943.623.946.600;business
-16.887.503.817.550.500;-11.914.039.404.570.100;female;0.1469491804436178;own;little;moderate;-0.6040629515103602;-0.738667542842371;radio/TV
-16.852.862.784.078.600;21.507.893.075.399.200;male;-13.837.714.491.773.900;own;little;little;-0.734498112240609;0.2569530922366421;car
-16.818.221.750.606.700;-0.6636892170890771;female;0.1469491804436178;rent;little;little;-0.6621916644444927;-0.4897623840726178;car
-16.783.580.717.134.800;-0.3118794015104515;female;-13.837.714.491.773.900;own;moderate;little;-0.7050793124019931;0.2569530922366421;radio/TV
-16.748.939.683.662.900;15.351.221.302.773.300;male;0.1469491804436178;own;;;-0.30030498209236195;0.2569530922366421;radio/TV
-1.671.429.865.019.100;-0.9275465787730462;male;0.1469491804436178;own;;little;1.701.591.180.419.710;0.7547634097761486;business
-16.679.657.616.719.100;0.7435500452254252;female;1.677.669.810.064.630;free;little;moderate;32.990.674.559.937.100;0.2569530922366421;car
-16.645.016.583.247.200;-0.3998318554051079;male;0.1469491804436178;own;quite rich;;0.056265049686524994;0.2569530922366421;radio/TV
-16.610.375.549.775.300;10.953.598.608.040.500;male;0.1469491804436178;own;little;;-0.4030935598417429;-0.9875727016121243;car
-16.575.734.516.303.400;0.7435500452254252;male;0.1469491804436178;rent;quite rich;little;-0.22126411023680354;-12.364.778.603.818.700;radio/TV
-16.541.093.482.831.500;10.953.598.608.040.500;male;-13.837.714.491.773.900;rent;little;little;-0.3651681190859368;-0.9046043153555399;car
-16.506.452.449.359.600;0.7435500452254252;male;0.1469491804436178;own;moderate;moderate;-0.5200598724531074;-0.738667542842371;car
-1.647.181.141.588.770;-0.8395941248783899;male;0.1469491804436178;own;;;-0.4261323789924662;-0.9046043153555399;furniture/equipment
-1.643.717.038.241.580;0.03993041406817406;male;-13.837.714.491.773.900;own;little;little;-0.6724705222194308;-12.364.778.603.818.700;furniture/equipment
-16.402.529.348.943.900;0.3037877757521432;male;-13.837.714.491.773.900;own;little;;-10.084.828.384.484.400;-12.364.778.603.818.700;radio/TV
-16.367.888.315.472.000;0.5676451374361124;female;0.1469491804436178;rent;rich;rich;-10.145.083.757.647.800;-0.738667542842371;radio/TV
-16.333.247.282.000.100;-0.13597449372113873;male;0.1469491804436178;own;little;moderate;-0.3034949724363083;-11.535.094.741.252.900;radio/TV
-16.298.606.248.528.200;24.146.466.692.238.900;male;0.1469491804436178;own;little;little;12.634.991.731.844.200;32.438.149.974.736.800;business
-16.263.965.215.056.300;0.03993041406817406;male;0.1469491804436178;own;rich;moderate;-0.48142554495420214;-0.2408572253028645;business
-162.293.241.815.845;-0.7516416709837335;male;0.1469491804436178;own;little;little;0.26538663890078273;0.2569530922366421;furniture/equipment
-161.946.831.481.126;-0.4877843092997643;male;0.1469491804436178;own;moderate;moderate;0.9196891027813249;-0.2408572253028645;car
-16.160.042.114.640.700;18.869.319.458.559.500;male;-13.837.714.491.773.900;rent;;;-0.7114592930898858;-0.738667542842371;business
-16.125.401.081.168.800;-0.22392694761579512;female;1.677.669.810.064.630;own;little;rich;-0.637026185064472;-0.738667542842371;furniture/equipment
-16.090.760.047.696.900;-0.9275465787730462;male;-13.837.714.491.773.900;own;little;moderate;0.5227125266457847;1.999.289.203.624.910;radio/TV
-16.056.119.014.225.000;-0.3998318554051079;male;0.1469491804436178;free;little;;10.061.732.854.394.200;22.481.943.623.946.600;education
-16.021.477.980.753.100;0.12788286796283044;male;0.1469491804436178;own;little;rich;-0.41514463447442895;-0.2408572253028645;radio/TV
-15.986.836.947.281.200;0.12788286796283044;male;0.1469491804436178;own;little;rich;-0.7252825845803197;-0.9046043153555399;domestic appliances
-1.595.219.591.380.930;-10.154.990.326.677.000;male;0.1469491804436178;own;little;moderate;-0.9971406505588548;-0.9875727016121243;radio/TV
-15.917.554.880.337.400;-0.4877843092997643;male;1.677.669.810.064.630;own;quite rich;;-0.3325593289033746;0.7547634097761486;radio/TV
-15.882.913.846.865.500;-0.8395941248783899;male;0.1469491804436178;own;quite rich;moderate;-0.7490302904741422;-0.738667542842371;radio/TV
-15.848.272.813.393.600;0.7435500452254252;male;-13.837.714.491.773.900;own;little;moderate;1.039.490.962.365.080;-0.2408572253028645;repairs
-15.813.631.779.921.700;-10.154.990.326.677.000;male;0.1469491804436178;rent;moderate;little;1.033.465.425.048.740;0.7547634097761486;car
-15.778.990.746.449.800;19.748.843.997.506.100;female;-13.837.714.491.773.900;free;little;little;10.178.699.167.005.600;22.481.943.623.946.600;car
-15.744.349.712.977.900;-0.048022039826482336;female;1.677.669.810.064.630;own;little;;-0.6657360981599887;-0.8216359290989554;car
-1.570.970.867.950.600;0.3037877757521432;male;0.1469491804436178;own;quite rich;;-0.34461040353606065;12.525.737.273.156.500;radio/TV
-15.675.067.646.034.100;-1.103.451.486.562.350;female;-29.144.920.787.984.100;rent;quite rich;little;-0.6802682763935218;-12.364.778.603.818.700;car
-15.640.426.612.562.200;0.3037877757521432;male;-13.837.714.491.773.900;own;little;;14.024.409.748.318.600;-0.8216359290989554;car
-15.605.785.579.090.300;-0.6636892170890771;female;0.1469491804436178;own;moderate;;-0.4247146055062679;-0.738667542842371;radio/TV
-15.571.144.545.618.400;-0.5757367631944207;male;-13.837.714.491.773.900;own;;moderate;-0.3325593289033746;0.2569530922366421;furniture/equipment
-15.536.503.512.146.500;-0.4877843092997643;male;1.677.669.810.064.630;own;little;moderate;0.9547789965647342;0.5058582510063954;car
-15.501.862.478.674.600;-0.9275465787730462;male;0.1469491804436178;own;little;;-0.7121681798329849;-0.738667542842371;radio/TV
-1.546.722.144.520.270;-0.3998318554051079;male;0.1469491804436178;own;;;0.03783399436594634;-0.2408572253028645;car
-15.432.580.411.730.800;18.869.319.458.559.500;male;0.1469491804436178;free;little;moderate;-0.37083921303073025;12.525.737.273.156.500;car
-15.397.939.378.258.900;-0.8395941248783899;male;-13.837.714.491.773.900;own;;;-0.8819465548052382;-12.364.778.603.818.700;car
-15.363.298.344.787.000;14.471.696.763.826.700;male;1.677.669.810.064.630;own;;moderate;11.330.640.124.541.700;-0.738667542842371;radio/TV
-15.328.657.311.315.100;-0.3998318554051079;female;0.1469491804436178;own;little;;2.231.129.577.514.800;12.525.737.273.156.500;radio/TV
-15.294.016.277.843.200;-1.103.451.486.562.350;female;1.677.669.810.064.630;own;little;rich;-0.46441226311982187;-0.2408572253028645;car
-15.259.375.244.371.300;-1.103.451.486.562.350;female;-13.837.714.491.773.900;rent;little;little;10.483.520.466.538.200;12.525.737.273.156.500;furniture/equipment
-1.522.473.421.089.940;-0.7516416709837335;male;0.1469491804436178;own;little;moderate;-0.6664449849030879;-0.9875727016121243;business
-15.190.093.177.427.500;12.712.647.685.933.600;male;0.1469491804436178;own;;moderate;-0.6146962526568478;-0.4897623840726178;radio/TV
-1.515.545.214.395.560;2.238.741.761.434.580;male;1.677.669.810.064.630;free;little;moderate;-0.4672478100922186;12.525.737.273.156.500;business
-15.120.811.110.483.700;-0.9275465787730462;male;0.1469491804436178;own;little;moderate;39.519.521.463.880.600;22.481.943.623.946.600;business
-15.086.170.077.011.800;-0.8395941248783899;female;0.1469491804436178;own;little;;-0.03199134982932277;0.2569530922366421;radio/TV
-15.051.529.043.539.900;10.953.598.608.040.500;male;0.1469491804436178;own;;;0.6800853836138023;0.5058582510063954;repairs
-15.016.888.010.068.000;-0.5757367631944207;female;0.1469491804436178;own;little;;-0.3899791550944081;-0.738667542842371;radio/TV
-1.498.224.697.659.610;-11.914.039.404.570.100;male;0.1469491804436178;own;rich;moderate;-0.8025512395781302;-0.738667542842371;car
-14.947.605.943.124.200;0.12788286796283044;male;0.1469491804436178;free;little;;-0.5147432218798635;12.525.737.273.156.500;education
-1.491.296.490.965.230;-0.9275465787730462;female;0.1469491804436178;own;;;-0.31093828323884964;12.525.737.273.156.500;radio/TV
-14.878.323.876.180.400;-0.4877843092997643;female;0.1469491804436178;own;little;;1.723.212.226.084.240;12.525.737.273.156.500;car
-14.843.682.842.708.500;0.919454953014738;male;-13.837.714.491.773.900;rent;;;-0.9007320534973665;-11.535.094.741.252.900;radio/TV
-14.809.041.809.236.600;135.921.722.248.802;male;1.677.669.810.064.630;free;little;little;-0.7469036302448446;-10.705.410.878.687.000;vacation/others
-14.774.400.775.764.700;0.479692683541456;female;-13.837.714.491.773.900;own;little;moderate;0.9508801194776887;17.503.840.448.551.600;business
-1.473.975.974.229.280;0.3917402296467996;male;1.677.669.810.064.630;own;;little;-0.45874116917502844;12.525.737.273.156.500;education
-1.470.511.870.882.090;2.678.504.030.907.860;male;1.677.669.810.064.630;free;little;little;-0.6185951297438933;-0.738667542842371;car
-1.467.047.767.534.900;-0.13597449372113873;male;0.1469491804436178;own;little;little;0.24589225346555532;17.503.840.448.551.600;radio/TV
-14.635.836.641.877.100;135.921.722.248.802;male;0.1469491804436178;own;little;moderate;0.5315736109345244;-0.8216359290989554;radio/TV
-14.601.195.608.405.200;0.3037877757521432;male;-13.837.714.491.773.900;own;;;2.185.051.939.213.350;2.746.004.679.934.170;car
-14.566.554.574.933.300;-11.914.039.404.570.100;male;0.1469491804436178;own;little;moderate;0.19875128504945994;0.7547634097761486;furniture/equipment
-14.531.913.541.461.400;0.7435500452254252;female;0.1469491804436178;own;;;0.9469812423906432;0.2569530922366421;radio/TV
-1.449.727.250.798.950;10.074.074.069.093.900;male;0.1469491804436178;own;quite rich;;-0.7295359050389147;-0.4897623840726178;radio/TV
-14.462.631.474.517.600;-10.154.990.326.677.000;female;-13.837.714.491.773.900;rent;moderate;;-0.6037085081388105;-0.2408572253028645;business
-1.442.799.044.104.570;19.748.843.997.506.100;female;-13.837.714.491.773.900;own;little;little;-0.5374275976590372;0.2569530922366421;vacation/others
-14.393.349.407.573.800;14.471.696.763.826.700;male;-13.837.714.491.773.900;own;little;little;-0.3389393095912672;-0.9046043153555399;radio/TV
-14.358.708.374.101.900;-0.5757367631944207;female;1.677.669.810.064.630;own;little;;-0.6590016741005464;-0.738667542842371;business
-14.324.067.340.630.000;-0.7516416709837335;female;0.1469491804436178;own;little;moderate;-0.7004715485718485;-0.2408572253028645;furniture/equipment
-14.289.426.307.158.100;10.074.074.069.093.900;male;0.1469491804436178;free;moderate;moderate;3.310.764.087.254.850;12.525.737.273.156.500;education
-1.425.478.527.368.620;-0.4877843092997643;male;1.677.669.810.064.630;own;moderate;little;-0.36233257211354014;-0.2408572253028645;car
-14.220.144.240.214.300;-0.6636892170890771;male;0.1469491804436178;own;little;little;-0.7667524590516217;-0.738667542842371;repairs
-1.418.550.320.674.240;1.798.979.491.961.300;male;0.1469491804436178;own;little;;-0.9404297111109204;-0.738667542842371;radio/TV
-14.150.862.173.270.500;16.230.745.841.719.800;male;0.1469491804436178;own;little;little;-0.6600650042151952;-0.738667542842371;car
-14.116.221.139.798.600;-0.22392694761579512;female;-13.837.714.491.773.900;own;;;-0.8769843476035439;-0.738667542842371;radio/TV
-14.081.580.106.326.700;-13.673.088.482.463.200;male;0.1469491804436178;rent;;rich;0.12254596016629822;0.2569530922366421;furniture/equipment
-14.046.939.072.854.800;16.230.745.841.719.800;male;0.1469491804436178;own;rich;moderate;-0.6923193510262079;-0.738667542842371;car
-14.012.298.039.382.900;19.748.843.997.506.100;male;0.1469491804436178;rent;little;moderate;4.492.123.844.629.630;2.746.004.679.934.170;business
-13.977.657.005.911.000;2.238.741.761.434.580;female;0.1469491804436178;own;;;-0.4463356511707928;-0.738667542842371;education
-1.394.301.597.243.910;-0.13597449372113873;male;0.1469491804436178;own;moderate;moderate;-0.23012519452554325;-0.2408572253028645;business
-13.908.374.938.967.200;0.03993041406817406;male;0.1469491804436178;own;little;moderate;-0.33114155541717627;12.525.737.273.156.500;radio/TV
-13.873.733.905.495.300;0.03993041406817406;male;1.677.669.810.064.630;rent;;moderate;13.418.311.582.968.800;-0.07492045278969563;car
-13.839.092.872.023.400;0.479692683541456;male;-13.837.714.491.773.900;rent;moderate;;-0.6387984019222199;0.2569530922366421;car
-13.804.451.838.551.500;-10.154.990.326.677.000;male;0.1469491804436178;rent;little;moderate;-0.3361037626188705;12.525.737.273.156.500;radio/TV
-13.769.810.805.079.600;-10.154.990.326.677.000;female;0.1469491804436178;own;little;;-0.8291344924443494;-12.364.778.603.818.700;radio/TV
-13.735.169.771.607.700;-0.048022039826482336;male;0.1469491804436178;rent;little;moderate;-0.4792988847249046;-0.9875727016121243;furniture/equipment
-137.005.287.381.359;-0.8395941248783899;male;0.1469491804436178;rent;;;-0.2928616712898206;-0.738667542842371;car
-13.665.887.704.664.000;0.3037877757521432;male;1.677.669.810.064.630;own;little;moderate;3.071.869.254.830.430;0.2569530922366421;vacation/others
-13.631.246.671.192.100;0.3037877757521432;male;1.677.669.810.064.630;own;little;;11.295.195.787.386.800;-0.2408572253028645;car
-13.596.605.637.720.200;-0.3118794015104515;male;0.1469491804436178;own;little;moderate;0.9948310975498378;-0.738667542842371;car
-13.561.964.604.248.300;-0.4877843092997643;female;0.1469491804436178;own;;little;15.771.815.570.058.100;0.2569530922366421;furniture/equipment
-13.527.323.570.776.400;-0.048022039826482336;male;0.1469491804436178;own;quite rich;moderate;-0.6597105608436457;-0.5727307703292022;business
-13.492.682.537.304.500;-0.3998318554051079;male;0.1469491804436178;own;moderate;moderate;-0.6458872693532116;-12.364.778.603.818.700;business
-1.345.804.150.383.260;-1.103.451.486.562.350;female;0.1469491804436178;rent;little;rich;-10.205.339.130.811.200;-0.4897623840726178;education
-13.423.400.470.360.700;-0.6636892170890771;male;-13.837.714.491.773.900;rent;little;moderate;10.593.397.911.718.600;-0.2408572253028645;car
-13.388.759.436.888.800;-0.9275465787730462;female;0.1469491804436178;own;little;;16.246.769.687.934.500;12.525.737.273.156.500;car
-13.354.118.403.416.900;-0.048022039826482336;male;0.1469491804436178;own;quite rich;little;-0.5640108505252565;-0.738667542842371;radio/TV
-13.319.477.369.945.000;10.074.074.069.093.900;male;0.1469491804436178;own;;;0.10872266867586422;22.481.943.623.946.600;radio/TV
-13.284.836.336.473.100;-0.4877843092997643;female;1.677.669.810.064.630;own;;little;13.833.010.327.681.800;17.503.840.448.551.600;radio/TV
-13.250.195.303.001.200;-0.7516416709837335;female;0.1469491804436178;rent;;little;-0.4038024465848421;-0.9046043153555399;furniture/equipment
-1.321.555.426.952.930;-1.103.451.486.562.350;female;0.1469491804436178;own;quite rich;little;0.3578963588752256;1.003.668.568.545.900;furniture/equipment
-1.318.091.323.605.740;0.03993041406817406;male;1.677.669.810.064.630;own;quite rich;moderate;-0.3208626976422382;-0.738667542842371;car
-13.146.272.202.585.500;-0.9275465787730462;female;0.1469491804436178;own;little;little;-0.5090721279350702;0.008047933466888799;radio/TV
-13.111.631.169.113.600;0.479692683541456;female;1.677.669.810.064.630;rent;little;;0.21151124642524516;0.2569530922366421;car
-13.076.990.135.641.700;-10.154.990.326.677.000;male;-13.837.714.491.773.900;rent;little;;-0.5328198338288926;-0.738667542842371;furniture/equipment
-13.042.349.102.169.800;24.146.466.692.238.900;male;0.1469491804436178;free;little;rich;-0.8826554415483374;-0.9046043153555399;car
-13.007.708.068.697.900;-0.7516416709837335;female;0.1469491804436178;rent;;moderate;-0.4775266678671567;-0.2408572253028645;furniture/equipment
-1.297.306.703.522.600;-0.4877843092997643;male;0.1469491804436178;own;little;little;-0.40770132367188755;-0.738667542842371;car
-1.293.842.600.175.410;0.3917402296467996;male;-13.837.714.491.773.900;own;little;little;-0.9110109112723046;-0.738667542842371;radio/TV
-12.903.784.968.282.200;-0.4877843092997643;male;0.1469491804436178;own;little;moderate;-0.9329864003083791;-0.738667542842371;repairs
-12.869.143.934.810.300;-0.13597449372113873;male;1.677.669.810.064.630;own;little;moderate;-0.5002110436463304;-0.738667542842371;car
-12.834.502.901.338.400;-0.5757367631944207;female;0.1469491804436178;own;little;little;0.08072164232344667;-0.738667542842371;car
-12.799.861.867.866.500;-10.154.990.326.677.000;female;0.1469491804436178;own;;moderate;18.486.851.796.127.900;22.481.943.623.946.600;car
-12.765.220.834.394.600;-0.5757367631944207;male;0.1469491804436178;own;little;little;12.815.757.851.334.500;12.525.737.273.156.500;education
-12.730.579.800.922.700;-0.7516416709837335;male;-13.837.714.491.773.900;own;little;;-0.19964306457227857;-0.4897623840726178;furniture/equipment
-1.269.593.876.745.080;10.074.074.069.093.900;male;0.1469491804436178;free;little;;-0.4562600655741813;-0.2408572253028645;furniture/equipment
-12.661.297.733.978.900;-1.279.356.394.351.670;female;0.1469491804436178;own;moderate;;24.359.978.462.704.600;32.438.149.974.736.800;radio/TV
-12.626.656.700.507.000;0.21583532185748686;female;0.1469491804436178;own;;;-0.7199659340070759;-0.738667542842371;radio/TV
-12.592.015.667.035.100;-0.7516416709837335;male;0.1469491804436178;own;rich;;1.893.345.044.428.040;0.5058582510063954;car
-12.557.374.633.563.200;2.678.504.030.907.860;male;-13.837.714.491.773.900;own;quite rich;moderate;-0.8879720921215812;-0.738667542842371;radio/TV
-12.522.733.600.091.300;-0.048022039826482336;male;0.1469491804436178;own;;moderate;-0.1925541971412868;-0.4897623840726178;radio/TV
-12.488.092.566.619.400;0.7435500452254252;female;-13.837.714.491.773.900;rent;little;rich;-0.49276773284378905;-0.738667542842371;radio/TV
-1.245.345.153.314.750;-0.7516416709837335;male;-29.144.920.787.984.100;own;rich;rich;-0.9081753642999079;-12.364.778.603.818.700;car
-12.418.810.499.675.600;-0.4877843092997643;female;1.677.669.810.064.630;own;little;moderate;0.5400802518517146;12.525.737.273.156.500;radio/TV
-12.384.169.466.203.700;-0.7516416709837335;male;1.677.669.810.064.630;own;little;little;0.05130284248483074;0.5058582510063954;radio/TV
-12.349.528.432.731.800;-11.914.039.404.570.100;male;0.1469491804436178;own;little;little;-0.28683613397347757;-0.2408572253028645;furniture/equipment
-12.314.887.399.259.900;-1.103.451.486.562.350;female;0.1469491804436178;own;little;;-0.34850928062310615;0.008047933466888799;furniture/equipment
-12.280.246.365.788.000;-0.4877843092997643;male;0.1469491804436178;own;moderate;moderate;0.10446934821726915;22.481.943.623.946.600;business
-12.245.605.332.316.100;0.3037877757521432;female;0.1469491804436178;own;little;little;-0.8546544151959198;-12.364.778.603.818.700;car
-1.221.096.429.884.420;135.921.722.248.802;female;0.1469491804436178;own;moderate;;-0.9177453353317467;-0.738667542842371;car
-12.176.323.265.372.300;-0.6636892170890771;male;0.1469491804436178;own;little;little;0.744239633864278;12.525.737.273.156.500;furniture/equipment
-12.141.682.231.900.400;0.919454953014738;male;0.1469491804436178;own;rich;;-0.5987463009371162;-0.2408572253028645;radio/TV
-12.107.041.198.428.500;0.5676451374361124;male;0.1469491804436178;free;moderate;;-0.6823949366228194;-12.364.778.603.818.700;radio/TV
-12.072.400.164.956.600;0.21583532185748686;male;0.1469491804436178;own;little;;-0.4775266678671567;-0.9046043153555399;radio/TV
-12.037.759.131.484.700;-10.154.990.326.677.000;male;0.1469491804436178;own;little;rich;0.9133091220934322;12.525.737.273.156.500;radio/TV
-12.003.118.098.012.800;-0.5757367631944207;female;0.1469491804436178;rent;rich;moderate;1.590.295.961.753.140;0.2569530922366421;car
-1.196.847.706.454.090;0.03993041406817406;male;1.677.669.810.064.630;rent;moderate;moderate;1.309.931.254.857.420;0.2569530922366421;business
-11.933.836.031.069.000;-13.673.088.482.463.200;female;0.1469491804436178;rent;little;little;-0.7050793124019931;-0.738667542842371;furniture/equipment
-11.899.194.997.597.100;10.953.598.608.040.500;male;0.1469491804436178;own;moderate;little;-0.7029526521726955;-0.9875727016121243;repairs
-11.864.553.964.125.200;0.8315024991200816;male;-13.837.714.491.773.900;own;little;little;-10.393.194.117.732.500;-0.738667542842371;education
-11.829.912.930.653.300;0.21583532185748686;male;0.1469491804436178;own;moderate;moderate;0.08532940615359133;0.2569530922366421;car
-11.795.271.897.181.400;-0.13597449372113873;male;-13.837.714.491.773.900;own;;;-0.486742195527446;-12.364.778.603.818.700;radio/TV
-11.760.630.863.709.500;0.03993041406817406;male;0.1469491804436178;own;moderate;;-0.1415143516381459;0.2569530922366421;radio/TV
-1.172.598.983.023.760;-0.4877843092997643;female;0.1469491804436178;own;little;;-0.7855379577437499;-0.2408572253028645;car
-11.691.348.796.765.700;0.03993041406817406;male;0.1469491804436178;own;quite rich;;-0.7121681798329849;-0.4897623840726178;domestic appliances
-11.656.707.763.293.800;30.303.138.464.864.900;male;1.677.669.810.064.630;free;little;moderate;14.307.964.445.558.300;-0.9046043153555399;car
-11.622.066.729.821.900;0.03993041406817406;male;0.1469491804436178;own;quite rich;;-0.83728668998999;12.525.737.273.156.500;car
-11.587.425.696.350.000;-0.3118794015104515;male;0.1469491804436178;own;quite rich;;-0.10394335425388943;-12.364.778.603.818.700;furniture/equipment
-11.552.784.662.878.100;-0.22392694761579512;female;0.1469491804436178;own;little;little;-0.7586002615059811;-0.2408572253028645;furniture/equipment
